Year,Pensions,Health Care,Education,Defence,Welfare,Protection,Transport,General Government,Other Spending,Interest
1924,3810000000,1880000000,7120000000,6600000000,4370000000,1830000000,6280000000,890000000,5530000000,20010000000
1925,3820000000,2000000000,7230000000,6380000000,4670000000,1860000000,6830000000,930000000,5750000000,20440000000
1926,3770000000,2100000000,7460000000,6810000000,4910000000,1860000000,7210000000,980000000,6160000000,20720000000
1927,3590000000,2340000000,7980000000,6770000000,5970000000,2080000000,7330000000,980000000,7040000000,22010000000
1928,3430000000,2370000000,8320000000,6890000000,5370000000,2110000000,8300000000,640000000,6850000000,22490000000
1929,3260000000,2410000000,8350000000,6610000000,5470000000,2110000000,8370000000,640000000,7020000000,22930000000
1930,3150000000,2600000000,8600000000,6640000000,5950000000,2170000000,9000000000,670000000,7360000000,23140000000
1931,3120000000,3290000000,9380000000,6670000000,6850000000,2450000000,9600000000,650000000,7540000000,23180000000
1932,3040000000,3750000000,9520000000,6590000000,7500000000,2520000000,9890000000,690000000,7660000000,23670000000
1933,2930000000,4360000000,9060000000,6560000000,9300000000,2460000000,8600000000,730000000,7780000000,23860000000
1934,2900000000,4470000000,9040000000,6940000000,9250000000,2510000000,9020000000,720000000,8010000000,20810000000
1935,2770000000,4590000000,9340000000,7220000000,9350000000,2580000000,8760000000,750000000,8430000000,19820000000
1936,2700000000,4960000000,9890000000,8540000000,9830000000,2720000000,8920000000,770000000,9020000000,19620000000
1937,2560000000,5080000000,10030000000,11090000000,9420000000,2780000000,9070000000,760000000,9580000000,19100000000
1938,2440000000,5320000000,10250000000,11430000000,8940000000,2950000000,8560000000,760000000,9910000000,19170000000
1939,2310000000,5600000000,10380000000,14340000000,8760000000,3220000000,9300000000,760000000,9920000000,18960000000
1940,2040000000,5160000000,9360000000,31420000000,7850000000,3300000000,7760000000,700000000,9200000000,17740000000
1941,1810000000,4550000000,8140000000,142330000000,6650000000,2690000000,5640000000,650000000,8540000000,16330000000
1942,1670000000,4410000000,7720000000,167560000000,6100000000,3710000000,5090000000,650000000,8990000000,17020000000
1943,1570000000,4600000000,8140000000,190090000000,6120000000,2950000000,4960000000,710000000,9190000000,18330000000
1944,1460000000,4810000000,8090000000,183930000000,6060000000,2470000000,4750000000,690000000,9150000000,19380000000
1945,1440000000,5120000000,8460000000,187200000000,6150000000,2300000000,5040000000,710000000,9740000000,20760000000
1946,1470000000,5460000000,10540000000,156590000000,6200000000,2300000000,5440000000,720000000,10030000000,21260000000
1947,3120000000,6980000000,11620000000,56170000000,8060000000,2320000000,9280000000,790000000,31910000000,20250000000
1948,10710000000,7750000000,13010000000,27600000000,11500000000,2420000000,10020000000,820000000,24080000000,19510000000
1949,10760000000,8680000000,14720000000,24050000000,11710000000,3000000000,10040000000,850000000,15870000000,18020000000
1950,10750000000,10210000000,16340000000,23260000000,11630000000,3450000000,9620000000,900000000,17790000000,18130000000
1951,7830000000,13310000000,12960000000,38930000000,10420000000,2810000000,8020000000,5580000000,21270000000,15840000000
1952,8470000000,12740000000,13470000000,44620000000,11320000000,2900000000,7870000000,5250000000,17960000000,16340000000
1953,9170000000,12930000000,13880000000,46120000000,12340000000,3050000000,8670000000,5260000000,16270000000,16830000000
1954,9280000000,13190000000,14720000000,44160000000,12270000000,3180000000,8700000000,5390000000,15500000000,16780000000
1955,10480000000,13570000000,15260000000,39980000000,13540000000,3270000000,10510000000,6100000000,15260000000,17880000000
1956,10610000000,13910000000,16510000000,39100000000,13780000000,3380000000,11150000000,5770000000,16690000000,17360000000
1957,10650000000,14490000000,17810000000,35880000000,13910000000,3500000000,11930000000,5530000000,17660000000,16830000000
1958,13300000000,14850000000,18190000000,34440000000,17420000000,3580000000,12020000000,5490000000,17540000000,18110000000
1959,14420000000,15950000000,19380000000,34240000000,18730000000,3870000000,13000000000,6840000000,18850000000,18270000000
1960,14720000000,17210000000,20800000000,34670000000,18610000000,4200000000,15550000000,6370000000,19620000000,20450000000
1961,16170000000,18780000000,21050000000,35440000000,20360000000,4590000000,17120000000,6180000000,22360000000,23960000000
1962,16630000000,18390000000,23400000000,38080000000,21230000000,4770000000,16460000000,6760000000,23360000000,23140000000
1963,18670000000,19360000000,25170000000,38680000000,25530000000,5120000000,17470000000,6340000000,22940000000,23350000000
1964,19810000000,20410000000,26850000000,39820000000,26200000000,5510000000,18990000000,6540000000,24090000000,23740000000
1965,22140000000,21710000000,28340000000,39820000000,29340000000,5610000000,20250000000,7020000000,24740000000,24110000000
1966,22410000000,22700000000,30080000000,39550000000,29980000000,6060000000,20700000000,7320000000,26550000000,24440000000
1967,22960000000,24460000000,32590000000,41700000000,32180000000,6690000000,23480000000,7880000000,34760000000,26140000000
1968,25070000000,25440000000,34270000000,40300000000,34990000000,7090000000,25400000000,8410000000,36150000000,27980000000
1969,24340000000,24990000000,34570000000,36010000000,34060000000,7470000000,23320000000,8350000000,33840000000,28050000000
